DATE,Recession
2003-01-01,0.00000000000000000000
2004-01-01,0.00000000000000000000
2005-01-01,0.00000000000000000000
2006-01-01,0.00000000000000000000
2007-01-01,0.25000000000000000000
2008-01-01,1.00000000000000000000
2009-01-01,0.50000000000000000000
2010-01-01,0.00000000000000000000
2011-01-01,0.00000000000000000000
2012-01-01,0.00000000000000000000
2013-01-01,0.00000000000000000000
2014-01-01,0.00000000000000000000
2015-01-01,0.00000000000000000000
2016-01-01,0.00000000000000000000
2017-01-01,0.00000000000000000000
2018-01-01,0.00000000000000000000
2019-01-01,0.00000000000000000000
2020-01-01,0.50000000000000000000
2021-01-01,0.00000000000000000000
2022-01-01,0.00000000000000000000
